Id;Identificador;Empaquetado;Cantidad;Identificaci�n
1;G***;utn_logo;1;LOGO
2;R42,R36,R41,R40;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;4;440/R0603
3;DOOR4,DOOR3,DOOR2,DOOR1;Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical;4;Conn_01x02
4;U7,U6,U5,U1;SO-4_4.4x2.3mm_P1.27mm;4;ACPL-217-56AE
5;L2;SMD_0530;1;2.2uH/9A/DCR=35mR/20%/3.00x3.00x1.50mm/CD32(NR3015T2R2M)
6;G2;jlcpcb_logo;1;LOGO JLCPCB
7;G3;ericnet_logo;1;LOGO ERICNET
8;C5;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;10uF/6.3V/20%/X5R/C0805/1mΩ
9;RESET1;SW_SPST_PTS645;1;TAC-SWITCH SMD 6X6MM
10;R35;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;1;4.7K/R0603
11;J1;PinHeader_1x07_P2.54mm_Vertical;1;Conn_01x07_Male
12;TEMP1;Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical;1;Conn_01x03
13;USB-UART2;USB_Micro-B_Amphenol_10104110_Horizontal;1;USB_B_Micro
14;LAN1;RJLBC-060TC1;1;RJLD-060TC1(LPJ4013EDNL)
15;R5;R_0603_5MIL_DWS;1;1k/R0603
16;L1;L_0805_5MIL_DWS;1;NA(FB0805/600R/2A)
17;C2,C12,C9,C8;C_0603_5MIL_DWS;4;22uF/6.3V/20%/X5R/C0603
18;T1;SOT23;1;DTC114YKA
19;R6,R38,R29;R_0603_5MIL_DWS;3;10k/R0603
20;FET1;SOT23;1;WPM2015-3/TR
21;R3;R_0603_5MIL_DWS;1;2.2k/R0603
22;C4,C3;C_0805_5MIL_DWS;2;4.7uF/6.3V/20%/X5R/C0805/1mΩ
23;R20;R_0603_5MIL_DWS;1;100k/1%/63mw/R0603
24;R19;R_0603_5MIL_DWS;1;442k/1%/50mW/R0603
25;R54;R_0603_5MIL_DWS;1;10K/R0603
26;C20;C_1206_5MIL_DWS_ISO;1;NA(1nF/2000V/10%/X7R/C1206)
27;C19;C_1206_5MIL_DWS_ISO;1;1nF/2000V/10%/X7R/C1206
28;R39;R_0603_5MIL_DWS;1;12.1k/1%/R0603
29;R33,R32,R31,R28;R_0603_5MIL_DWS;4;49.9R/1%/R0603
30;R27,R26;R_0603_5MIL_DWS;2;330R/R0603
31;R24;R_0603_5MIL_DWS;1;1M/R0603
32;GND1;TESTPAD_40-ROUND;1;TESTPAD
33;C18;C_0603_5MIL_DWS;1;NA(10uF/6.3V/20%/X5R/C0603)
34;C17,C15,C14,C13,C11;C_0603_5MIL_DWS;5;100nF/50V/20%/Y5V/C0603
35;C16;C_0603_5MIL_DWS;1;2.2uF/6.3V/10%/X5R/C0603
36;C1;C_0805_5MIL_DWS;1;10uF/6.3V/20%/X5R/C0805/1mΩ
37;PHY_RST1;SJ;1;Opened
38;U4;QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm;1;LAN8710A-EZC(QFN32)
39;MH1,MH2;Mounting_hole_Shield_3.3mm;2;Mounting_hole_Shield_3.3mm
40;U2;SOT-23-5;1;TLV62569DBVT(SOT23-5)
41;L3;L_0805_5MIL_DWS;1;FB0805/600R/2A
42;RM3,RM2;R_MATRIX_4;2;RA1206_(4X0603)_4B8_2.2k
43;U3;ESP-WROOM-32_MODULE;1;ESP32-WROOM-32D-4MB
44;FID2,FID3;Fiducial1x3;2;Fiducial
45;R25;R_0603_5MIL_DWS;1;0R(Board_Mounted)
